Replicate,Heterogeneity model,Tree length,LnL gamma rates,LnL free rates,LnL phyloRNN rates,LnL true rates
124,Spike-and-slab_autocorrelated,1.842,-10959.790,-10959.450,-10915.295,-10946.631
125,Bimodal_uncorrelated,0.174,-2532.530,-2531.300,-2479.193,-2531.016
126,Spike-and-slab_autocorrelated,0.066,-1968.790,-1968.740,-1945.416,-1969.362
127,Codon_uncorrelated,0.141,-2233.680,-2230.270,-2200.907,-2210.034
128,Gamma_autocorrelated,0.092,-2093.920,-2091.490,-1964.766,-1966.864
129,Spike-and-slab_uncorrelated,14.165,-36188.700,-35940.310,-36216.615,-35712.053
130,Spike-and-slab_uncorrelated,0.097,-2018.570,-2018.100,-1977.837,-2008.444
131,Spike-and-slab_autocorrelated,0.045,-1717.640,-1717.320,-1698.521,-1713.366
132,Gamma_uncorrelated,3.298,-14795.350,-14717.410,-13924.646,-13954.101
133,Gamma_autocorrelated,0.117,-2156.980,-2156.400,-2124.952,-2132.923
134,Spike-and-slab_autocorrelated,0.030,-1584.040,-1583.560,-1569.143,-1576.671
135,Bimodal_uncorrelated,1.047,-7480.620,-7480.290,-7439.294,-7471.379
136,Codon_uncorrelated,1.582,-9987.060,-9978.420,-9739.873,-9770.286
137,Gamma_autocorrelated,9.041,-29818.510,-29798.040,-28908.505,-28904.267
138,Bimodal_uncorrelated,0.314,-3517.900,-3517.900,-3484.852,-3501.353
139,Gamma_uncorrelated,0.045,-1775.690,-1775.590,-1741.564,-1746.590
140,GBM_uncorrelated,0.022,-1550.220,-1549.480,-1538.936,-1532.080
141,Codon_uncorrelated,0.073,-1996.830,-1996.460,-1953.854,-1985.033
142,Gamma_autocorrelated,9.762,-22476.120,-22321.680,-21142.143,-21124.533
143,GBM_uncorrelated,0.228,-2688.520,-2688.240,-2576.935,-2622.609
144,Bimodal_autocorrelated,17.601,-35819.530,-35375.010,-34639.111,-34658.636
145,Codon_uncorrelated,0.522,-4748.210,-4748.150,-4523.325,-4537.725
